#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Activation_subClassOf_PositiveRegulation                              1         952                 951            1343.00        602.00         741.00         4              951.25              112.75              451.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfPolymeraseActivity_subClassOf_ActivationOfProteinFunction 2         952                 951            1020.00        507.00         513.00         4              951.25              44.50               178.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfProcess_subClassOf_Activation                             3         952                 951            2258.00        1497.00        761.00         15             949.47              19.80               297.00              119            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfProcess_subClassOf_RegulationOfProcess                    4         952                 951            1034.00        521.00         513.00         4              951.25              43.25               173.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfProteinFunction_subClassOf_Activation                     5         952                 951            1881.00        1226.00        655.00         11             950.27              24.36               268.00              474            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfProteinFunction_subClassOf_RegulationOfFunction           6         952                 951            1022.00        508.00         514.00         4              951.25              44.75               179.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
ActivationOfTranscriptionRegulatorActivity_subClassOf_ActivationOfProteinFunction7         952                 951            1017.00        506.00         511.00         4              951.25              44.00               176.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
Behavior_subClassOf_OrganismalProcess                                 8         952                 951            1021.00        502.00         519.00         4              951.25              43.75               175.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
BindingOfDNABindingDomainOfProteinToDNA_subClassOf_BindingOfMolecularEntity9         952                 951            1027.00        514.00         513.00         4              951.25              45.75               183.00              146            
#Axiom String                                                         i         No. Axioms          size           time           exp_time       cont_time      RC             ont_mean_size       RC_mean_time        RC_total_time       mem            sanity    
